answer_correct_rate,approach,n,subgroup,subgroup_type
0.246667,A1,600,en-US,language
0.198333,A1,600,pt-BR,language
0.285000,A2,600,en-US,language
0.166667,A2,600,pt-BR,language
0.310000,A3,600,en-US,language
0.203333,A3,600,pt-BR,language
0.293333,A4,600,en-US,language
0.191667,A4,600,pt-BR,language
0.143939,A1,132,easy,difficulty
0.406716,A1,536,hard,difficulty
0.056391,A1,532,medium,difficulty
0.060606,A2,132,easy,difficulty
0.378731,A2,536,hard,difficulty
0.112782,A2,532,medium,difficulty
0.075758,A3,132,easy,difficulty
0.438433,A3,536,hard,difficulty
0.118421,A3,532,medium,difficulty
0.083333,A4,132,easy,difficulty
0.434701,A4,536,hard,difficulty
0.088346,A4,532,medium,difficulty
0.940000,A1,200,adversarial,class
0.000000,A1,54,ambiguity,class
0.000000,A1,98,comparison,class
0.000000,A1,46,contract_status,class
0.000000,A1,62,filtering,class
0.000000,A1,108,grouped_aggregation,class
0.104651,A1,86,lookup,class
0.120000,A1,200,multi_turn,class
1.000000,A1,20,out_of_scope,class
0.200000,A1,80,ranking,class
0.000000,A1,52,share_ratio,class
0.111111,A1,90,trend,class
0.000000,A1,104,variance,class
0.770000,A2,200,adversarial,class
0.388889,A2,54,ambiguity,class
0.183673,A2,98,comparison,class
0.000000,A2,46,contract_status,class
0.000000,A2,62,filtering,class
0.000000,A2,108,grouped_aggregation,class
0.000000,A2,86,lookup,class
0.110000,A2,200,multi_turn,class
0.900000,A2,20,out_of_scope,class
0.000000,A2,80,ranking,class
0.000000,A2,52,share_ratio,class
0.422222,A2,90,trend,class
0.000000,A2,104,variance,class
0.935000,A3,200,adversarial,class
0.425926,A3,54,ambiguity,class
0.163265,A3,98,comparison,class
0.000000,A3,46,contract_status,class
0.000000,A3,62,filtering,class
0.000000,A3,108,grouped_aggregation,class
0.000000,A3,86,lookup,class
0.120000,A3,200,multi_turn,class
1.000000,A3,20,out_of_scope,class
0.000000,A3,80,ranking,class
0.000000,A3,52,share_ratio,class
0.422222,A3,90,trend,class
0.000000,A3,104,variance,class
0.900000,A4,200,adversarial,class
0.129630,A4,54,ambiguity,class
0.214286,A4,98,comparison,class
0.000000,A4,46,contract_status,class
0.000000,A4,62,filtering,class
0.000000,A4,108,grouped_aggregation,class
0.011628,A4,86,lookup,class
0.120000,A4,200,multi_turn,class
1.000000,A4,20,out_of_scope,class
0.000000,A4,80,ranking,class
0.000000,A4,52,share_ratio,class
0.422222,A4,90,trend,class
0.000000,A4,104,variance,class
