class,difficulty,language,n,split
adversarial,hard,en-US,100,adversarial
adversarial,hard,pt-BR,100,adversarial
grouped_aggregation,easy,en-US,11,development
lookup,easy,en-US,13,development
out_of_scope,easy,en-US,1,development
comparison,hard,en-US,7,development
contract_status,hard,en-US,2,development
filtering,hard,en-US,3,development
ranking,hard,en-US,4,development
share_ratio,hard,en-US,20,development
trend,hard,en-US,9,development
variance,hard,en-US,4,development
ambiguity,medium,en-US,2,development
comparison,medium,en-US,8,development
contract_status,medium,en-US,3,development
filtering,medium,en-US,9,development
grouped_aggregation,medium,en-US,20,development
out_of_scope,medium,en-US,2,development
ranking,medium,en-US,14,development
trend,medium,en-US,9,development
variance,medium,en-US,9,development
grouped_aggregation,easy,pt-BR,11,development
lookup,easy,pt-BR,13,development
out_of_scope,easy,pt-BR,1,development
comparison,hard,pt-BR,7,development
contract_status,hard,pt-BR,2,development
filtering,hard,pt-BR,3,development
ranking,hard,pt-BR,4,development
share_ratio,hard,pt-BR,20,development
trend,hard,pt-BR,9,development
variance,hard,pt-BR,4,development
ambiguity,medium,pt-BR,2,development
comparison,medium,pt-BR,8,development
contract_status,medium,pt-BR,3,development
filtering,medium,pt-BR,9,development
grouped_aggregation,medium,pt-BR,20,development
out_of_scope,medium,pt-BR,2,development
ranking,medium,pt-BR,14,development
trend,medium,pt-BR,9,development
variance,medium,pt-BR,9,development
multi_turn,hard,en-US,51,multi_turn
multi_turn,medium,en-US,49,multi_turn
multi_turn,hard,pt-BR,51,multi_turn
multi_turn,medium,pt-BR,49,multi_turn
grouped_aggregation,easy,en-US,8,test_hidden
lookup,easy,en-US,17,test_hidden
out_of_scope,easy,en-US,3,test_hidden
comparison,hard,en-US,4,test_hidden
contract_status,hard,en-US,5,test_hidden
filtering,hard,en-US,3,test_hidden
ranking,hard,en-US,3,test_hidden
share_ratio,hard,en-US,15,test_hidden
trend,hard,en-US,8,test_hidden
variance,hard,en-US,6,test_hidden
